timestamp,value
1540796400,77.72
1540800000,82.93
1540803600,85.89
1540807200,89.26
1540810800,88.5
1540814400,87.07
1540818000,86.94
1540821600,88.19
1540825200,91.21
1540828800,94.33
1540832400,95.62
1540836000,96.72
1540839600,96.85
1540843200,97.11
1540846800,97.11
1540850400,96.95
1540854000,96.56
1540857600,93.22
1540861200,73.19
1540864800,74.51
1540868400,73.25
1540872000,78.35
1540875600,80.11
1540879200,82.71
1540882800,82.96
1540886400,85.69
1540890000,87.58
1540893600,89.83
1540897200,88.67
1540900800,87.38
1540904400,87.12
1540908000,88.75
1540911600,91.44
1540915200,93.95
1540918800,96.14
1540922400,95.82
1540926000,97.05
1540929600,97.1
1540933200,97.11
1540936800,97.05
1540940400,96.57
1540944000,93.88
1540947600,77.09
1540951200,77.37
1540954800,75.68
1540958400,80.79
1540962000,80.84
1540965600,83.98
1540969200,84.09
1540972800,86.73
1540976400,88.14
1540980000,89.92
1540983600,89.19
1540987200,87.82
1540990800,87.8
1540994400,89.14
1540998000,91.53
1541001600,93.86
1541005200,96.11
1541008800,96.63
1541012400,96.93
1541016000,97.09
1541019600,97.14
1541023200,97.13
1541026800,96.08
1541030400,93.85
1541034000,77.78
1541037600,78.72
1541041200,76.03
1541044800,80.73
1541048400,80.61
1541052000,83.87
1541055600,84.22
1541059200,86.98
1541062800,88.23
1541066400,90.21
1541070000,89.14
1541073600,87.6
1541077200,87.76
1541080800,89.34
1541084400,91.87
1541088000,94.65
1541091600,95.91
1541095200,96.78
1541098800,97.13
1541102400,96.95
1541106000,97.17
1541109600,96.95
1541113200,96.53
1541116800,94.01
1541120400,78.25
1541124000,79.81
1541127600,76.76
1541131200,81.49
1541134800,80.99
1541138400,83.68
1541142000,84.99
1541145600,87.64
1541149200,88.52
1541152800,89.5
1541156400,88.46
1541160000,87.24
1541163600,87.09
1541167200,88.6
1541170800,91.3
1541174400,92.99
1541178000,95.12
1541181600,96.66
1541185200,96.77
1541188800,96.99
1541192400,97.25
1541196000,96.87
1541199600,96.67
1541203200,94.15
1541206800,85.81
1541210400,84.82
1541214000,82.24
1541217600,84.77
1541221200,83.94
1541224800,86.1
1541228400,87.43
1541232000,88.29
1541235600,89.04
1541239200,89.83
1541242800,89.41
1541246400,88.14
1541250000,88.03
1541253600,89.62
1541257200,91.97
1541260800,94.23
1541264400,95.75
1541268000,95.63
1541271600,96.94
1541275200,97.06
1541278800,97.01
1541282400,97.12
1541286000,96.54
1541289600,94.74
1541293200,88.55
1541296800,86.2
1541300400,84.46
1541304000,85.74
1541307600,85.94
1541311200,86.87
1541314800,87.53
1541318400,88.69
1541322000,89.17
1541325600,89.81
1541329200,89.5
1541332800,88.45
1541336400,88.69
1541340000,90.15
1541343600,92.23
1541347200,94.67
1541350800,94.87
1541354400,96.75
1541358000,96.98
1541361600,96.97
1541365200,97.15
1541368800,97.02
1541372400,96.49
1541376000,93.69
1541379600,74.26
1541383200,74.93
1541386800,68.77
1541390400,71.96
1541394000,69.14
1541397600,73.03
1541401200,77.78
1541404800,82.91
1541408400,85.46
1541412000,88.95
1541415600,88.75
1541419200,87.16
1541422800,87.49
1541426400,89.16
1541430000,91.74
1541433600,94.79
1541437200,96.11
1541440800,97.08
1541444400,97.28
1541448000,97.25
1541451600,97.45
1541455200,97.15
1541458800,96.85
1541462400,93.62
1541466000,70.87
1541469600,72.97
1541473200,72.41
1541476800,77.67
1541480400,79.49
1541484000,82.01
1541487600,82.71
1541491200,85.98
1541494800,87.74
1541498400,89.97
1541502000,88.93
1541505600,87.69
1541509200,87.86
1541512800,89.37
1541516400,92.19
1541520000,94.93
1541523600,96.05
1541527200,97.04
1541530800,97.06
1541534400,97.46
1541538000,97.41
1541541600,97.2
1541545200,96.88
1541548800,93.99
1541552400,75.69
1541556000,76.42
1541559600,75.05
1541563200,80.0
1541566800,80.75
1541570400,83.57
1541574000,84.04
1541577600,86.83
1541581200,88.36
1541584800,90.46
1541588400,89.53
1541592000,88.18
1541595600,88.2
1541599200,89.77
1541602800,92.23
1541606400,94.85
1541610000,96.3
1541613600,96.92
1541617200,97.26
1541620800,97.4
1541624400,97.3
1541628000,97.31
1541631600,96.91
1541635200,94.57
1541638800,78.27
1541642400,78.64
1541646000,76.23
1541649600,81.08
1541653200,80.96
1541656800,83.87
1541660400,84.62
1541664000,87.4
1541667600,88.81
1541671200,90.33
1541674800,89.43
1541678400,88.05
1541682000,88.29
1541685600,89.78
1541689200,92.1
1541692800,94.89
1541696400,96.26
1541700000,96.99
1541703600,97.24
1541707200,97.21
1541710800,97.39
1541714400,97.32
1541718000,96.8
1541721600,94.43
1541725200,78.38
1541728800,79.79
1541732400,76.88
1541736000,81.43
1541739600,81.39
1541743200,84.15
1541746800,85.36
1541750400,88.0
1541754000,88.81
1541757600,90.05
1541761200,89.17
1541764800,87.92
1541768400,87.76
1541772000,88.93
1541775600,91.52
1541779200,93.3
1541782800,95.91
1541786400,96.83
1541790000,97.13
1541793600,97.36
1541797200,97.36
1541800800,97.2
1541804400,96.9
1541808000,94.92
1541811600,86.18
1541815200,85.38
1541818800,82.7
1541822400,85.16
1541826000,84.6
1541829600,86.08
1541833200,87.65
1541836800,88.76
1541840400,89.42
1541844000,89.92
1541847600,89.18
1541851200,88.29
1541854800,88.32
1541858400,89.57
1541862000,91.62
1541865600,93.42
1541869200,95.58
1541872800,96.57
1541876400,97.05
1541880000,97.29
1541883600,97.12
1541887200,97.32
1541890800,96.92
1541894400,95.05
1541898000,88.84
1541901600,86.57
1541905200,84.79
1541908800,85.9
1541912400,85.95
1541916000,86.88
1541919600,87.92
1541923200,89.03
1541926800,89.56
1541930400,90.02
1541934000,89.58
1541937600,88.48
1541941200,88.7
1541944800,90.2
1541948400,92.33
1541952000,95.0
1541955600,95.19
1541959200,96.81
1541962800,97.23
1541966400,97.33
1541970000,97.4
1541973600,97.35
1541977200,96.73
1541980800,94.17
1541984400,74.7
1541988000,75.34
1541991600,71.36
1541995200,74.68
1541998800,72.15
1542002400,74.75
